1	120	97	7.248	3205.73
2	120	115	7.278	4006.51
3	120	91	7.278	2769.36
4	120	113	7.28	4114.19
5	120	138	7.241	4408.46
1	110	76	7.234	2662.54
2	110	79	7.272	1870.93
3	110	107	7.251	3775.23
4	110	60	7.242	1877.73
5	110	96	7.287	2420.8
10	10.653	115.78
103	7.272	3543.6
5	13.004	46.94
1	110	61	7.267	2153.8
2	110	84	7.302	2824.3
155	4.344	9958.3
60	7.465	746.85
10	11.318	25.06
10	11.089	31.46
60	7.584	848.0
10	8.882	30.85
60	7.451	940.66
10	8.157	29.01
100	7.38	2580.18
10	11.253	24.94
2	10.543	8.26
2	16.586	7.06
2	14.408	7.43
2	12.045	5.22
169	7.254	6711.53
10	8.489	24.95
100	7.362	4321.15
10	8.851	20.09
10	9.311	20.96
10	8.742	18.75
10	8.692	21.41
71	7.305	4699.91
60	7.49	97.94
10	8.218	16.96
10	13.869	20.46
66	7.522	336.87
105	7.249	1663.23
10	13.483	20.67
91	7.314	1597.38
